url,fid,name,nick,birth_date,height,weight,association,class,locality,country,base_style,num_wins,num_losses,total_fights,win_rate
/fighter/conor-mcgregor-29688,29688,conor mcgregor,notorious,7/14/1988,68.0,145.0,sbg ireland,featherweight,dublin,ireland,boxing,21,4,25,0.84
/fighter/jon-jones-27944,27944,jon jones,bones,7/19/1987,76.0,205.0,jackson-wink mma,light heavyweight,"rochester, new york",usa,wrestling,22,1,23,0.9565217391304348
/fighter/holly-holm-75125,75125,holly holm,the preacher's daughter,10/17/1981,68.0,135.0,jackson-wink mma,bantamweight,"albuquerque, new mexico",usa,kickboxing,12,4,16,0.75
/fighter/dominick-cruz-12107,12107,dominick cruz,the dominator,9/3/1985,68.0,134.0,alliance mma,bantamweight,"san diego, california",usa,wrestling,22,2,24,0.9166666666666666
/fighter/demetrious-johnson-45452,45452,demetrious johnson,mighty mouse,8/13/1986,63.0,125.0,amc pankration,flyweight,"kirkland, washington",usa,wrestling,27,3,30,0.9
/fighter/ronda-rousey-73073,73073,ronda rousey,rowdy,2/1/1987,66.0,135.0,team hayastan,bantamweight,"santa monica, california",usa,judo,12,2,14,0.8571428571428571
/fighter/fabricio-werdum-8390,8390,fabricio werdum,vai cavalo,7/30/1977,76.0,242.0,werdum combat team,heavyweight,"porto alegre, rio grande do sul",brazil,bjj,23,8,31,0.7419354838709677
/fighter/robbie-lawler-2245,2245,robbie lawler,ruthless,3/20/1982,71.0,170.0,american top team,welterweight,"granite city, illinois",usa,wrestling,28,12,40,0.7
/fighter/jose-aldo-11506,11506,jose aldo,scarface,9/9/1986,67.0,145.0,nova uniao,featherweight,"manaus, amazonas",brazil,bjj,27,4,31,0.8709677419354839
/fighter/chad-mendes-38393,38393,chad mendes,money,5/1/1985,66.0,145.0,team alpha male,featherweight,"hanford, california",usa,wrestling,18,4,22,0.8181818181818182
/fighter/dustin-poirier-50529,50529,dustin poirier,the diamond,1/19/1989,69.0,155.0,american top team,lightweight,"carencro, louisiana",usa,wrestling,24,5,29,0.8275862068965517
/fighter/marcus-brimage-21618,21618,marcus brimage,the bama beast,4/6/1985,64.0,135.0,american top team,bantamweight,"birmingham, alabama",usa,muay thai,7,7,14,0.5
/fighter/diego-brandao-25097,25097,diego brandao,db,5/27/1987,67.0,145.0,jackson-wink mma,featherweight,"fortaleza, ceara",brazil,bjj,24,13,37,0.6486486486486487
/fighter/max-holloway-38671,38671,max holloway,blessed,12/4/1991,71.0,145.0,gracie technics,featherweight,"waianae, hawaii",usa,kickboxing,20,3,23,0.8695652173913043
/fighter/joseph-duffy-17052,17052,joseph duffy,irish joe,2/18/1988,70.0,155.0,the mma clinic,lightweight,donegal,ireland,taekwondo,16,3,19,0.8421052631578947
/fighter/kevin-randleman-162,162,kevin randleman,the monster,8/10/1971,70.0,205.0,tapout training center,light heavyweight,"columbus, ohio",usa,wrestling,17,16,33,0.5151515151515151
/fighter/vitor-belfort-156,156,vitor belfort,the phenom,4/1/1977,72.0,185.0,blackzilians,middleweight,rio de janeiro,brazil,boxing,26,14,40,0.65
/fighter/rashad-evans-10200,10200,rashad evans,suga,9/25/1979,71.0,205.0,blackzilians,light heavyweight,"niagara falls, new york",usa,wrestling,19,8,27,0.7037037037037037
/fighter/ryan-bader-22858,22858,ryan bader,darth,6/7/1983,74.0,205.0,power mma team,light heavyweight,"tempe, arizona",usa,wrestling,26,5,31,0.8387096774193549
/fighter/michael-bisping-10196,10196,michael bisping,the count,2/28/1979,74.0,185.0,hb ultimate,middleweight,manchester,england,jujutsu,30,9,39,0.7692307692307693
/fighter/alexander-gustafsson-26162,26162,alexander gustafsson,the mauler,1/15/1987,76.0,205.0,allstars training center,light heavyweight,"stockholm, stockholm county",sweden,boxing,18,4,22,0.8181818181818182
/fighter/vladimir-matyushenko-435,435,vladimir matyushenko,the janitor,1/4/1971,73.0,205.0,vmat,light heavyweight,retchisa,belarus,wrestling,27,8,35,0.7714285714285715
/fighter/lyoto-machida-7513,7513,lyoto machida,the dragon,5/30/1978,73.0,185.0,apam,middleweight,"belem, para",brazil,karate,25,8,33,0.7575757575757576
/fighter/quinton-jackson-348,348,quinton jackson,rampage,6/20/1978,73.0,206.0,wolfslair academy,light heavyweight,"memphis, tennessee",usa,wrestling,38,13,51,0.7450980392156863
/fighter/brandon-vera-4886,4886,brandon vera,the truth,10/10/1977,74.0,205.0,alliance mma,light heavyweight,"san diego, california",usa,wrestling,16,7,23,0.6956521739130435
/fighter/mauricio-rua-5707,5707,mauricio rua,shogun,11/25/1981,73.0,205.0,universidade da luta,light heavyweight,"curitiba, parana",brazil,bjj,26,11,37,0.7027027027027027
/fighter/stephan-bonnar-3014,3014,stephan bonnar,the american psycho,4/4/1977,75.0,205.0,one kick's gym,light heavyweight,"hammond, indiana",usa,wrestling,15,9,24,0.625
/fighter/mark-kerr-71,71,mark kerr,the smashing machine,12/21/1968,75.0,255.0,team kerr,heavyweight,"phoenix, arizona",usa,wrestling,15,11,26,0.5769230769230769
/fighter/james-toney-60940,60940,james toney,lights out,8/24/1968,70.0,237.0,m-1 global training center,heavyweight,"grand rapids, michigan",usa,boxing,0,1,1,0.0
/fighter/randy-couture-166,166,randy couture,the natural,6/22/1963,73.0,203.0,xtreme couture,light heavyweight,"corvallis, oregon",usa,wrestling,19,11,30,0.6333333333333333
/fighter/marion-reneau-61266,61266,marion reneau,the bruiser,6/20/1977,66.0,135.0,elite team,bantamweight,"visalia, california",usa,bjj,9,4,13,0.6923076923076923
/fighter/anthony-pettis-26627,26627,anthony pettis,showtime,1/27/1987,69.0,155.0,roufusport,lightweight,"milwaukee, wisconsin",usa,taekwondo,21,8,29,0.7241379310344828
/fighter/miesha-tate-26252,26252,miesha tate,cupcake,8/18/1986,66.0,135.0,xtreme couture,bantamweight,"tacoma, washington",usa,wrestling,18,7,25,0.72
/fighter/donald-cerrone-15105,15105,donald cerrone,cowboy,3/29/1983,71.0,155.0,jackson-wink mma,lightweight,"broomfield, colorado",usa,kickboxing,34,11,45,0.7555555555555555
/fighter/raquel-pennington-75564,75564,raquel pennington,rocky,9/5/1988,67.0,135.0,altitude mma,bantamweight,"colorado springs, colorado",usa,mma,9,7,16,0.5625
/fighter/alex-oliveira-110143,110143,alex oliveira,cowboy,2/21/1988,71.0,155.0,tata fight team,lightweight,"tres rios, rio de janeiro",brazil,muay thai,19,6,25,0.76
/fighter/urijah-faber-8847,8847,urijah faber,the california kid,5/14/1979,66.0,135.0,team alpha male,bantamweight,"sacramento, california",usa,wrestling,34,10,44,0.7727272727272727
/fighter/scott-jorgensen-16852,16852,scott jorgensen,young guns,9/17/1982,65.0,135.0,twisted genetiks,bantamweight,"boise, idaho",usa,wrestling,15,12,27,0.5555555555555556
/fighter/ian-mccall-5001,5001,ian mccall,uncle creepy,7/5/1984,65.0,125.0,team oyama,flyweight,"dana point, california",usa,kung fu,13,7,20,0.65
/fighter/chris-weidman-42804,42804,chris weidman,all-american,6/17/1984,74.0,185.0,serra-longo fight team,middleweight,"baldwin, new york",usa,wrestling,14,4,18,0.7777777777777778
/fighter/paul-bradley-19726,19726,paul bradley,the gentleman,5/17/1983,69.0,170.0,alliance mma,welterweight,"san diego, california",usa,wrestling,23,10,33,0.696969696969697
/fighter/tim-boetsch-19544,19544,tim boetsch,the barbarian,1/28/1981,71.0,205.0,team irish,light heavyweight,"lincolnville, maine",usa,wrestling,21,12,33,0.6363636363636364
/fighter/ronaldo-souza-8394,8394,ronaldo souza,jacare,12/7/1979,72.0,184.0,x-gym,middleweight,"manaus, amazonas",brazil,bjj,26,6,32,0.8125
/fighter/junior-dos-santos-17272,17272,junior dos santos,cigano,1/30/1984,76.0,239.0,champion team,heavyweight,"cacadores, santa catarina",brazil,bjj,20,5,25,0.8
/fighter/jesse-taylor-17389,17389,jesse taylor,jt money,1/2/1984,73.0,185.0,the arena,middleweight,"poway, california",usa,wrestling,31,15,46,0.6739130434782609
/fighter/stephen-thompson-59608,59608,stephen thompson,wonderboy,2/11/1983,72.0,170.0,team upstate karate,welterweight,"simpsonville, south carolina",usa,karate,14,3,17,0.8235294117647058
/fighter/keith-jardine-2638,2638,keith jardine,the dean of mean,10/31/1975,74.0,185.0,jackson-wink mma,middleweight,"albuquerque, new mexico",usa,wrestling,17,11,28,0.6071428571428571
/fighter/dan-henderson-195,195,dan henderson,hendo,8/24/1970,73.0,185.0,team quest,middleweight,"temecula, california",usa,wrestling,32,15,47,0.6808510638297872
/fighter/kevin-ferguson-22388,22388,kevin ferguson,kimbo slice,2/8/1974,74.0,225.0,american top team,heavyweight,"miami, florida",usa,street fighting,5,2,7,0.7142857142857143
/fighter/ken-shamrock-4,4,ken shamrock,the world's most dangerous man,2/11/1964,73.0,212.0,lion's den,heavyweight,"san diego, california",usa,wrestling,28,17,45,0.6222222222222222
/fighter/anthony-johnson-17662,17662,anthony johnson,rumble,3/6/1984,74.0,205.0,blackzilians,light heavyweight,"boca raton, florida",usa,wrestling,22,6,28,0.7857142857142857
/fighter/antonio-rodrigo-nogueira-1440,1440,antonio rodrigo nogueira,minotauro,6/2/1976,75.0,240.0,team nogueira,heavyweight,"vitoria da conquista, bahia",brazil,judo,34,10,44,0.7727272727272727
/fighter/joe-doerksen-390,390,joe doerksen,el dirte,9/10/1977,72.0,186.0,canadian fighting centre,middleweight,"winnipeg, manitoba",canada,bjj,51,16,67,0.7611940298507462
/fighter/carlos-condit-6765,6765,carlos condit,the natural born killer,4/26/1984,73.0,170.0,jackson-wink mma,welterweight,"albuquerque, new mexico",usa,wrestling,30,12,42,0.7142857142857143
/fighter/tim-hague-19599,19599,tim hague,the thrashing machine,9/5/1983,76.0,264.0,black sheep mma,heavyweight,"boyle, alberta",canada,mma,21,13,34,0.6176470588235294
/fighter/houston-alexander-2352,2352,houston alexander,the assassin,3/22/1972,72.0,203.0,grudge training center,light heavyweight,"omaha, nebraska",usa,wrestling,17,16,33,0.5151515151515151
/fighter/jared-cannonier-78628,78628,jared cannonier,the killa gorilla,,75.0,244.0,gracie barra alaska,heavyweight,"anchorage, alaska",usa,mma,11,4,15,0.7333333333333333
/fighter/shamil-abdurakhimov-26808,26808,shamil abdurakhimov,abrek,9/2/1981,75.0,255.0,peresvet ft,heavyweight,"makhachkala, dagestan",russia,wrestling,19,4,23,0.8260869565217391
/fighter/jeremy-horn-202,202,jeremy horn,gumby,8/25/1975,73.0,186.0,elite performance,middleweight,"cedar rapids, iowa",usa,karate,91,22,113,0.8053097345132744
/fighter/ilir-latifi-40207,40207,ilir latifi,the sledgehammer,7/28/1983,68.0,205.0,pancrase gym sweden,light heavyweight,malmo,sweden,wrestling,14,5,19,0.7368421052631579
/fighter/alexey-oleinik-2027,2027,alexey oleinik,the boa constrictor,6/25/1977,73.0,240.0,k dojo warrior tribe,heavyweight,moscow,russia,jujutsu,57,11,68,0.8382352941176471
/fighter/darrill-schoonover-33084,33084,darrill schoonover,the boss,6/18/1985,74.0,257.0,red spider mma,heavyweight,"el paso, texas",usa,mma,14,8,22,0.6363636363636364
/fighter/jason-lambert-495,495,jason lambert,the punisher,9/23/1977,70.0,205.0,alliance mma,light heavyweight,"san diego, california",usa,mma,26,13,39,0.6666666666666666
/fighter/jeff-monson-262,262,jeff monson,the snowman,1/18/1971,69.0,238.0,american top team,heavyweight,"miami, florida",usa,wrestling,60,26,86,0.6976744186046512
/fighter/mike-kyle-3619,3619,mike kyle,mak,3/31/1980,75.0,205.0,american kickboxing academy,light heavyweight,"san jose, california",usa,kickboxing,23,17,40,0.575
/fighter/joey-beltran-21219,21219,joey beltran,mexicutioner,12/9/1981,73.0,185.0,blackline,middleweight,"san diego, california",usa,boxing,17,15,32,0.53125
/fighter/wes-combs-4371,4371,wes combs,soldier,6/18/1973,74.0,230.0,millennia mma,heavyweight,"rancho cucamonga, california",usa,mma,20,6,26,0.7692307692307693
/fighter/kyle-kingsbury-16558,16558,kyle kingsbury,kingsbu,3/22/1982,76.0,205.0,american kickboxing academy,light heavyweight,"san jose, california",usa,wrestling,11,6,17,0.6470588235294118
/fighter/justin-levens-10226,10226,justin levens,the executioner,4/18/1980,70.0,185.0,csw,middleweight,"newport beach, california",usa,mma,9,8,17,0.5294117647058824
/fighter/benson-henderson-20548,20548,benson henderson,smooth,11/16/1983,69.0,155.0,mma lab,lightweight,"glendale, arizona",usa,taekwondo,26,8,34,0.7647058823529411
/fighter/kamal-shalorus-31151,31151,kamal shalorus,prince of persia,8/27/1977,68.0,155.0,kaizen mma,lightweight,"ahmadabad, ardabil",iran,wrestling,9,5,14,0.6428571428571429
/fighter/anthony-hamilton-58947,58947,anthony hamilton,freight train,4/14/1980,77.0,253.0,jackson-wink mma,heavyweight,"seattle, washington",usa,wrestling,16,9,25,0.64
/fighter/clay-guida-8184,8184,clay guida,the carpenter,12/8/1981,67.0,145.0,jackson-wink mma,featherweight,"round lake, illinois",usa,wrestling,34,18,52,0.6538461538461539
/fighter/jason-high-14185,14185,jason high,the kansas city bandit,10/12/1981,69.0,155.0,american top team hd,lightweight,"kansas city, missouri",usa,wrestling,21,8,29,0.7241379310344828
/fighter/khabib-nurmagomedov-56035,56035,khabib nurmagomedov,the eagle,9/20/1988,70.0,155.0,fightspirit team,lightweight,makhachkala,russia,sambo,27,0,27,1.0
/fighter/jeremy-stephens-12179,12179,jeremy stephens,lil' heathen,5/26/1986,69.0,145.0,alliance mma,featherweight,"des moines, iowa",usa,mma,28,15,43,0.6511627906976745
/fighter/anthony-njokuani-7540,7540,anthony njokuani,the assassin,3/1/1980,72.0,155.0,janjira muay thai,lightweight,"garland, texas",usa,taekwondo,16,12,28,0.5714285714285714
/fighter/robert-emerson-5286,5286,robert emerson,the saint,7/30/1981,70.0,135.0,team oyama,bantamweight,"newport beach, california",usa,karate,19,12,31,0.6129032258064516
/fighter/henry-cejudo-125297,125297,henry cejudo,the messenger,2/9/1987,64.0,125.0,fight ready,flyweight,"phoenix, arizona",usa,wrestling,13,2,15,0.8666666666666667
/fighter/john-dodson-11660,11660,john dodson,the magician,9/26/1984,63.0,125.0,jackson-wink mma,flyweight,"albuquerque, new mexico",usa,wrestling,20,10,30,0.6666666666666666
/fighter/chris-cariaso-16467,16467,chris cariaso,kamikaze,5/27/1981,63.0,125.0,fight and fitness,flyweight,"san francisco, california",usa,bjj,17,8,25,0.68
/fighter/ali-bagautinov-81198,81198,ali bagautinov,puncher,6/12/1985,64.0,125.0,fight nights team,flyweight,dagestan,russia,sambo,18,6,24,0.75
/fighter/norifumi-yamamoto-1354,1354,norifumi yamamoto,kid,3/15/1977,64.0,135.0,krazy bee,bantamweight,"tokyo, kato",japan,wrestling,18,6,24,0.75
/fighter/damacio-page-12158,12158,damacio page,the angel of death,9/30/1982,66.0,125.0,jackson-wink mma,flyweight,"albuquerque, new mexico",usa,karate,20,10,30,0.6666666666666666
/fighter/brad-pickett-11743,11743,brad pickett,one punch,9/24/1978,66.0,125.0,american top team,flyweight,london,england,boxing,25,14,39,0.6410256410256411
/fighter/cat-zingano-33932,33932,cat zingano,alpha,7/1/1982,66.0,135.0,zingano brazilian jiu-jitsu,bantamweight,"broomfield, colorado",usa,wrestling,10,3,13,0.7692307692307693
/fighter/alexis-davis-22071,22071,alexis davis,ally-gator,10/4/1984,65.0,136.0,cesar gracie fight team,bantamweight,"port colborne, ontario",canada,jujutsu,19,8,27,0.7037037037037037
/fighter/liz-carmouche-67007,67007,liz carmouche,girl-rilla,2/19/1984,66.0,135.0,team hurricane awesome,bantamweight,"san diego, california",usa,mma,12,6,18,0.6666666666666666
/fighter/roy-nelson-10249,10249,roy nelson,big country,6/20/1976,72.0,249.0,country club,heavyweight,"las vegas, nevada",usa,wrestling,23,16,39,0.5897435897435898
/fighter/alistair-overeem-461,461,alistair overeem,the demolition man,5/17/1980,77.0,257.0,jackson-wink mma,heavyweight,amsterdam,netherlands,judo,44,17,61,0.7213114754098361
/fighter/gabriel-gonzaga-7306,7306,gabriel gonzaga,napao,5/18/1979,74.0,258.0,team link,heavyweight,rio de janeiro,brazil,judo,17,12,29,0.5862068965517241
/fighter/andrei-arlovski-270,270,andrei arlovski,the pit bull,2/4/1979,76.0,241.0,jackson-wink mma,heavyweight,minsk,belarus,sambo,27,17,44,0.6136363636363636
/fighter/travis-browne-16785,16785,travis browne,hapa,7/17/1982,79.0,236.0,glendale fighting club,heavyweight,"oahu, hawaii",usa,bjj,18,7,25,0.72
/fighter/james-zikic-1767,1767,james zikic,the messenger,3/31/1977,74.0,185.0,london shootfighters,middleweight,"watford, hertfordshire",england,boxing,21,10,31,0.6774193548387096
/fighter/mark-hunt-10668,10668,mark hunt,the super samoan,3/23/1974,70.0,262.0,american top team,heavyweight,"south auckland, auckland",new zealand,kickboxing,13,14,27,0.48148148148148145
/fighter/john-olav-einemo-2873,2873,john olav einemo,the viking,12/10/1975,78.0,251.0,golden glory,heavyweight,"oslo, oslo",norway,bjj,6,3,9,0.6666666666666666
/fighter/kristof-midoux-3363,3363,kristof midoux,the french hurricane,,73.0,220.0,boxing squad,heavyweight,nice,france,boxing,6,10,16,0.375
/fighter/antonio-silva-12354,12354,antonio silva,bigfoot,9/14/1979,76.0,264.0,american top team,heavyweight,"brasilia, distrito federal",brazil,karate,19,12,31,0.6129032258064516
/fighter/ebenezer-fontes-braga-207,207,ebenezer fontes braga,pitbull,4/14/1969,72.0,199.0,gracie barra combat team,light heavyweight,rio de janeiro,brazil,bjj,13,7,20,0.65
/fighter/valerie-letourneau-21851,21851,valerie letourneau,trouble,4/29/1983,67.0,116.0,american top team,strawweight,"montreal, quebec",canada,kickboxing,10,7,17,0.5882352941176471
/fighter/rosi-sexton-5358,5358,rosi sexton,the surgeon,7/16/1977,63.0,135.0,next generation,bantamweight,manchester,england,jujutsu,13,5,18,0.7222222222222222
/fighter/juliana-lima-73710,73710,juliana lima,ju thai,3/15/1982,65.0,115.0,gracie barra bh,strawweight,"belo horizonte, minas gerais",brazil,bjj,9,5,14,0.6428571428571429
/fighter/claudia-gadelha-48404,48404,claudia gadelha,claudinha,12/7/1988,63.0,115.0,nova uniao,strawweight,"mossoro, rio grande do norte",brazil,mma,16,4,20,0.8
/fighter/carla-esparza-63410,63410,carla esparza,cookie monster,10/10/1987,61.0,115.0,team oyama,strawweight,"redondo beach, california",usa,wrestling,13,6,19,0.6842105263157895
/fighter/johny-hendricks-24539,24539,johny hendricks,bigg rigg,9/12/1983,69.0,170.0,team takedown,welterweight,"ada, oklahoma",usa,wrestling,18,8,26,0.6923076923076923
/fighter/jake-ellenberger-13068,13068,jake ellenberger,the juggernaut,3/28/1985,69.0,170.0,reign mma,welterweight,"omaha, nebraska",usa,wrestling,31,15,46,0.6739130434782609
/fighter/matt-brown-14310,14310,matt brown,the immortal,1/10/1981,72.0,170.0,team jorge gurgel,welterweight,"xenia, ohio",usa,street fighting,21,16,37,0.5675675675675675
/fighter/jessica-aguilar-15174,15174,jessica aguilar,jag,5/8/1982,64.0,115.0,american top team,strawweight,"houston, texas",usa,mma,20,7,27,0.7407407407407407
/fighter/renato-sobral-274,274,renato sobral,babalu,7/9/1975,72.0,205.0,babalu's iron gym,light heavyweight,rio de janeiro,brazil,wrestling,37,11,48,0.7708333333333334
/fighter/lorenz-larkin-51345,51345,lorenz larkin,the monsoon,9/3/1986,71.0,170.0,millennia mma,welterweight,"riverside, california",usa,boxing,20,7,27,0.7407407407407407
/fighter/rory-macdonald-14018,14018,rory macdonald,red king,7/22/1989,71.0,170.0,tristar gym,welterweight,"kelowna, british columbia",canada,mma,20,5,25,0.8
/fighter/adlan-amagov-41523,41523,adlan amagov,borz,10/30/1986,71.0,170.0,jackson-wink mma,welterweight,grozny,russia,sambo,14,2,16,0.875
/fighter/bobby-voelker-15156,15156,bobby voelker,vicious,4/26/1979,72.0,171.0,finney's mma,welterweight,"kansas city, kansas",usa,kickboxing,31,13,44,0.7045454545454546
/fighter/jason-miller-7798,7798,jason miller,mayhem,12/24/1980,72.0,185.0,team mayhem,middleweight,"mission viejo, california",usa,taekwondo,23,10,33,0.696969696969697
/fighter/josh-koscheck-9418,9418,josh koscheck,kos,11/30/1977,70.0,170.0,dethrone base camp,welterweight,"buffalo, new york",usa,wrestling,17,11,28,0.6071428571428571
/fighter/scott-smith-2578,2578,scott smith,hands of steel,5/21/1979,72.0,185.0,capital city fighting alliance,middleweight,"elk grove, california",usa,wrestling,18,11,29,0.6206896551724138
/fighter/matt-lindland-276,276,matt lindland,the law,5/17/1970,72.0,185.0,team quest,middleweight,"eagle creek, oregon",usa,wrestling,22,9,31,0.7096774193548387
/fighter/frank-trigg-311,311,frank trigg,twinkle toes,5/7/1972,68.0,181.0,xtreme couture,middleweight,"rochester, new york",usa,judo,21,9,30,0.7
/fighter/falaniko-vitale-370,370,falaniko vitale,niko,7/14/1974,70.0,185.0,808 top team,middleweight,"honolulu, hawaii",usa,bjj,30,11,41,0.7317073170731707
/fighter/pete-spratt-3195,3195,pete spratt,the secret weapon,1/9/1971,69.0,170.0,team spratt,welterweight,"san antonio, texas",usa,karate,25,24,49,0.5102040816326531
/fighter/chris-lytle-267,267,chris lytle,lights out,8/18/1974,71.0,170.0,integrated fighting academy,welterweight,"indianapolis, indiana",usa,wrestling,31,18,49,0.6326530612244898
/fighter/steve-berger-1303,1303,steve berger,the red nose pitbull,5/20/1973,70.0,170.0,berger mma,welterweight,"st. louis, missouri",usa,mma,21,23,44,0.4772727272727273
/fighter/chris-leben-6258,6258,chris leben,the crippler,7/21/1980,71.0,185.0,alliance mma,middleweight,"portland, oregon",usa,wrestling,22,11,33,0.6666666666666666
/fighter/dean-lister-338,338,dean lister,the boogeyman,2/13/1976,73.0,185.0,victory mma,middleweight,"san diego, california",usa,wrestling,13,7,20,0.65
/fighter/danillo-villefort-13093,13093,danillo villefort,indio,5/8/1983,73.0,186.0,blackzilians,middleweight,"coconut creek, florida",usa,judo,15,6,21,0.7142857142857143
/fighter/ronald-jhun-524,524,ronald jhun,machine gun,,71.0,170.0,808 top team,welterweight,"honolulu, hawaii",usa,wrestling,24,26,50,0.48
/fighter/phil-baroni-278,278,phil baroni,new york bad ass,4/16/1976,69.0,170.0,american kickboxing academy,welterweight,"long island, new york",usa,wrestling,16,18,34,0.47058823529411764
/fighter/david-loiseau-903,903,david loiseau,the crow,12/17/1979,72.0,192.0,tristar gym,light heavyweight,"montreal, quebec",canada,mma,23,11,34,0.6764705882352942
/fighter/jorge-santiago-5735,5735,jorge santiago,the sandman,10/9/1980,73.0,170.0,blackzilians,welterweight,rio de janeiro,brazil,bjj,25,12,37,0.6756756756756757
/fighter/tim-credeur-1804,1804,tim credeur,crazy,7/9/1977,75.0,185.0,gladiators academy,middleweight,"lafayette, louisiana",usa,boxing,12,4,16,0.75
/fighter/david-terrell-536,536,david terrell,the soul assassin,1/9/1978,72.0,185.0,cesar gracie jiu-jitsu,middleweight,california,usa,wrestling,6,2,8,0.75
/fighter/julie-kedzie-10093,10093,julie kedzie,fireball,3/18/1981,65.0,135.0,jackson-wink mma,bantamweight,"bloomington, indiana",usa,taekwondo,16,13,29,0.5517241379310345
/fighter/seth-petruzelli-2738,2738,seth petruzelli,the silverback,12/3/1979,72.0,205.0,the jungle mma,light heavyweight,"fort myers, florida",usa,wrestling,14,8,22,0.6363636363636364
/fighter/todd-medina-61,61,todd medina,el tiburon,4/30/1970,70.0,205.0,carlson gracie jiu-jitsu,light heavyweight,"santa ana, california",usa,karate,11,9,20,0.55
/fighter/jorge-rivera-2712,2712,jorge rivera,el conquistador,2/28/1972,73.0,185.0,rivera athletic center,middleweight,"milford, massachusetts",usa,street fighting,20,9,29,0.6896551724137931
/fighter/steven-ray-59838,59838,steven ray,braveheart,3/25/1990,70.0,155.0,higher level mma,lightweight,"kirkcaldy, fife",scotland,mma,22,8,30,0.7333333333333333
/fighter/mairbek-taisumov-33161,33161,mairbek taisumov,beckan,8/8/1988,69.0,155.0,team taisumov,lightweight,"grozny, chechnya",russia,muay thai,27,5,32,0.84375
/fighter/chan-sung-jung-36155,36155,chan sung jung,the korean zombie,3/17/1987,69.0,145.0,korean zombie mma,featherweight,"gyeongju, north gyeongsang",south korea,kickboxing,14,5,19,0.7368421052631579
/fighter/ricardo-lamas-32051,32051,ricardo lamas,the bully,5/21/1982,68.0,145.0,mma masters,featherweight,"chicago, illinois",usa,wrestling,19,7,26,0.7307692307692307
/fighter/kenny-florian-8021,8021,kenny florian,kenflo,5/26/1976,70.0,145.0,florian martial arts center,featherweight,"westwood, massachusetts",usa,bjj,14,6,20,0.7
/fighter/frankie-edgar-14204,14204,frankie edgar,the answer,10/16/1981,66.0,145.0,ricardo almeida jiu-jitsu,featherweight,"toms river, new jersey",usa,wrestling,23,6,29,0.7931034482758621
/fighter/manny-gamburyan-5185,5185,manny gamburyan,the anvil,5/8/1981,65.0,135.0,team hayastan,bantamweight,"los angeles, california",usa,judo,15,10,25,0.6
/fighter/mark-hominick-4728,4728,mark hominick,the machine,7/22/1982,68.0,145.0,team tompkins,featherweight,"london, ontario",canada,kickboxing,20,12,32,0.625
/fighter/phil-harris-8753,8753,phil harris,billy,4/9/1983,65.0,125.0,gym01,flyweight,"portsmouth, hampshire",england,judo,22,12,34,0.6470588235294118
/fighter/michihiro-omigawa-13005,13005,michihiro omigawa,michi,12/19/1975,66.0,145.0,neo judo academy,featherweight,ibaraki,japan,judo,17,14,31,0.5483870967741935
/fighter/cody-mckenzie-22173,22173,cody mckenzie,the ak kid,12/16/1987,72.0,170.0,warrior camp,welterweight,"cordova, alaska",usa,mma,16,11,27,0.5925925925925926
/fighter/darren-elkins-22094,22094,darren elkins,the damage,5/16/1984,70.0,145.0,duneland vale tudo,featherweight,"hobart, indiana",usa,wrestling,24,7,31,0.7741935483870968
/fighter/nik-lentz-15058,15058,nik lentz,the carny,8/13/1984,68.0,145.0,american top team,featherweight,"st. paul, minnesota",usa,wrestling,29,9,38,0.7631578947368421
/fighter/javier-vazquez-511,511,javier vazquez,showtime,7/16/1977,67.0,145.0,gracie jiu-jitsu,featherweight,"pomona, california",usa,wrestling,16,5,21,0.7619047619047619
/fighter/erik-koch-23390,23390,erik koch,new breed,10/4/1988,70.0,145.0,roufusport,featherweight,"cedar rapids, iowa",usa,taekwondo,15,6,21,0.7142857142857143
/fighter/steven-siler-22537,22537,steven siler,super,2/15/1987,71.0,164.0,the pit elevated fight team,welterweight,"provo, utah",usa,mma,32,17,49,0.6530612244897959
/fighter/pablo-garza-35448,35448,pablo garza,the scarecrow,9/16/1983,73.0,145.0,academy of combat arts,featherweight,"fargo, north dakota",usa,muay thai,12,4,16,0.75
/fighter/yancy-medeiros-27738,27738,yancy medeiros,the kid,9/7/1987,70.0,155.0,team hakuilua,lightweight,"makaha, hawaii",usa,karate,15,5,20,0.75
/fighter/jason-young-17758,17758,jason young,shotgun,6/28/1986,69.0,145.0,american top team,featherweight,london,england,mma,9,6,15,0.6
/fighter/danny-castillo-26070,26070,danny castillo,last call,8/25/1979,69.0,155.0,team alpha male,lightweight,"sacaramento, california",usa,wrestling,17,10,27,0.6296296296296297
/fighter/josh-grispi-20416,20416,josh grispi,the fluke,10/14/1988,71.0,146.0,south shore sport fighting,featherweight,"rockland, massachusetts",usa,mma,14,5,19,0.7368421052631579
/fighter/paul-felder-68205,68205,paul felder,the irish dragon,4/25/1985,70.0,155.0,renzo gracie philly,lightweight,"philadelphia, pennsylvania",usa,karate,15,4,19,0.7894736842105263
/fighter/kyle-noke-7632,7632,kyle noke,ko,3/18/1980,73.0,170.0,jackson-wink mma,welterweight,"dubbo, new south wales",australia,mma,22,10,32,0.6875
/fighter/tatsuya-kawajiri-1326,1326,tatsuya kawajiri,crusher,5/8/1978,67.0,145.0,t-blood,featherweight,"inashiki, ibaraki",japan,kickboxing,36,12,48,0.75
